symbol	name	chrom	start	end	strand
PER3	period circadian regulator 3	chr1	7784291	7845181	+
UTS2	urotensin 2	chr1	7843083	7853512	-
TNFRSF9	TNF receptor superfamily member 9	chr1	7915871	7943165	-
PARK7	Parkinsonism associated deglycase	chr1	7954264	7985505	+
ERRFI1	ERBB receptor feedback inhibitor 1	chr1	8004404	8026312	-
SLC45A1	solute carrier family 45 member 1	chr1	8318104	8344167	+
RERE	arginine-glutamic acid dipeptide repeats	chr1	8352397	8848921	-
ENO1	enolase 1	chr1	8860977	8879289	-
CA6	carbonic anhydrase 6	chr1	8945867	8975092	+
SLC2A7	solute carrier family 2 member 7	chr1	9002973	9026423	-
SLC2A5	solute carrier family 2 member 5	chr1	9035106	9088478	-
GPR157	G protein-coupled receptor 157	chr1	9100305	9129122	-
H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	chr1	9234774	9271337	+
SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	chr1	9292101	9369532	+
SLC25A33	solute carrier family 25 member 33	chr1	9539465	9585173	+
TMEM201	transmembrane protein 201	chr1	9588721	9614877	+
PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	chr1	9629889	9730117	+
CLSTN1	calsyntenin 1	chr1	9728926	9823993	-
CTNNBIP1	catenin beta interacting protein 1	chr1	9848269	9910368	-
LZIC	leucine zipper and CTNNBIP1 domain containing	chr1	9922113	9943407	-
NMNAT1	nicotinamide nucleotide adenylyltransferase 1	chr1	9943428	9985501	+
RBP7	retinol binding protein 7	chr1	9997054	10016021	+
UBE4B	ubiquitination factor E4B	chr1	10032832	10181244	+
KIF1B	kinesin family member 1B	chr1	10210533	10381606	+
PGD	phosphogluconate dehydrogenase	chr1	10398592	10420511	+
CENPS	centromere protein S	chr1	10430433	10442808	+
CORT	cortistatin	chr1	10450031	10451998	+
DFFA	DNA fragmentation factor subunit alpha	chr1	10456522	10472549	-
PEX14	peroxisomal biogenesis factor 14	chr1	10472288	10630758	+
CASZ1	castor zinc finger 1	chr1	10636604	10796650	-
CIROZ	ciliated left-right organizer protein containing ZP-N domains	chr1	10946471	10982076	-
TARDBP	TAR DNA binding protein	chr1	11012344	11030528	+
MASP2	MBL associated serine protease 2	chr1	11022009	11047241	-
SRM	spermidine synthase	chr1	11054584	11060053	-
EXOSC10	exosome component 10	chr1	11066613	11099898	-
MTOR	mechanistic target of rapamycin kinase	chr1	11106531	11262556	-
ANGPTL7	angiopoietin like 7	chr1	11189355	11195981	+
UBIAD1	UbiA prenyltransferase domain containing 1	chr1	11273198	11296049	+
DISP3	dispatched RND transporter family member 3	chr1	11478905	11537583	+
FBXO2	F-box protein 2	chr1	11637018	11655785	-
FBXO44	F-box protein 44	chr1	11650618	11663327	+
MAD2L2	mitotic arrest deficient 2 like 2	chr1	11657230	11692605	-
FBXO6	F-box protein 6	chr1	11664189	11674354	+
DRAXIN	dorsal inhibitory axon guidance protein	chr1	11690958	11725857	+
AGTRAP	angiotensin II receptor associated protein	chr1	11736084	11754802	+
C1orf167	chromosome 1 open reading frame 167	chr1	11761787	11789585	+
MTHFR	methylenetetrahydrofolate reductase	chr1	11785723	11806455	-
CLCN6	chloride voltage-gated channel 6	chr1	11806096	11848079	+
NPPA	natriuretic peptide A	chr1	11845709	11848345	-
NPPB	natriuretic peptide B	chr1	11857464	11858976	-
KIAA2013	KIAA2013	chr1	11919591	11926428	-
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	chr1	11934205	11975542	+
MFN2	mitofusin 2	chr1	11980181	12015211	+
MIIP	migration and invasion inhibitory protein	chr1	12019466	12032046	+
TNFRSF8	TNF receptor superfamily member 8	chr1	12063303	12144207	+
TNFRSF1B	TNF receptor superfamily member 1B	chr1	12166977	12209228	+
VPS13D	vacuolar protein sorting 13 homolog D	chr1	12230030	12512047	+
DHRS3	dehydrogenase/reductase 3	chr1	12567909	12620133	-
AADACL4	arylacetamide deacetylase like 4	chr1	12644085	12667076	+
AADACL3	arylacetamide deacetylase like 3	chr1	12716110	12728760	+
CFAP107	cilia and flagella associated protein 107	chr1	12746200	12763699	+
PRAMEF12	PRAME family member 12	chr1	12773738	12777906	+
PRAMEF1	PRAME family member 1	chr1	12791397	12796628	+
PRAMEF11	PRAME family member 11	chr1	12824605	12831410	-
HNRNPCL1	heterogeneous nuclear ribonucleoprotein C like 1	chr1	12847377	12848720	-
PRAMEF2	PRAME family member 2	chr1	12857086	12861909	+
PRAMEF4	PRAME family member 4	chr1	12879212	12886201	-
PRAMEF10	PRAME family member 10	chr1	12892250	12898270	-
PRAMEF7	PRAME family member 7	chr1	12916610	12920751	+
PRAMEF6	PRAME family member 6	chr1	12938472	12947580	-
PRAMEF27	PRAME family member 27	chr1	13049476	13056575	-
HNRNPCL3	heterogeneous nuclear ribonucleoprotein C like 3	chr1	13060769	13062878	+
PRAMEF25	PRAME family member 25	chr1	13068677	13077884	+
HNRNPCL2	heterogeneous nuclear ribonucleoprotein C like 2	chr1	13115488	13116854	-
PRAMEF26	PRAME family member 26	chr1	13148905	13158116	-
HNRNPCL4	heterogeneous nuclear ribonucleoprotein C like 4	chr1	13163914	13165631	-
PRAMEF9	PRAME family member 9	chr1	13171848	13179459	+
PRAMEF13	PRAME family member 13	chr1	13196188	13201409	-
PRAMEF18	PRAME family member 18	chr1	13222695	13226154	-
PRAMEF5	PRAME family member 5	chr1	13254198	13263435	+
PRAMEF8	PRAME family member 8	chr1	13281304	13285137	-
PRAMEF33	PRAME family member 33	chr1	13303539	13308907	+
PRAMEF15	PRAME family member 15	chr1	13315581	13322598	+
PRAMEF14	PRAME family member 14	chr1	13341892	13347134	-
PRAMEF19	PRAME family member 19	chr1	13368431	13371947	-
PRAMEF17	PRAME family member 17	chr1	13389632	13392629	+
PRAMEF20	PRAME family member 20	chr1	13410450	13421328	+
LRRC38	leucine rich repeat containing 38	chr1	13474973	13514003	-
PDPN	podoplanin	chr1	13583465	13617957	+
PRDM2	PR/SET domain 2	chr1	13700188	13825079	+
KAZN	kazrin, periplakin interacting protein	chr1	13892792	15118043	+
TMEM51	transmembrane protein 51	chr1	15152498	15220484	+
FHAD1	forkhead associated phosphopeptide binding domain 1	chr1	15236521	15400283	+
EFHD2	EF-hand domain family member D2	chr1	15409849	15430339	+
CTRC	chymotrypsin C	chr1	15438442	15449242	+
CELA2A	chymotrypsin like elastase 2A	chr1	15456728	15472091	+
CELA2B	chymotrypsin like elastase 2B	chr1	15465909	15491395	+
CASP9	caspase 9	chr1	15490832	15526534	-
DNAJC16	DnaJ heat shock protein family (Hsp40) member C16	chr1	15526813	15592379	+
AGMAT	agmatinase (putative)	chr1	15571699	15585078	-
DDI2	DNA damage inducible 1 homolog 2	chr1	15617458	15669044	+
RSC1A1	regulator of solute carriers 1	chr1	15659713	15662033	+
PLEKHM2	pleckstrin homology and RUN domain containing M2	chr1	15681461	15734769	+
SLC25A34	solute carrier family 25 member 34	chr1	15736176	15741392	+
TMEM82	transmembrane protein 82	chr1	15742499	15747982	+
FBLIM1	filamin binding LIM protein 1	chr1	15756604	15786594	+
UQCRHL	ubiquinol-cytochrome c reductase hinge protein like	chr1	15807169	15809348	-
SPEN	spen family transcriptional repressor	chr1	15836095	15940456	+
ZBTB17	zinc finger and BTB domain containing 17	chr1	15940403	15976132	-
SRARP	steroid receptor associated and regulated protein	chr1	16004236	16008807	+
HSPB7	heat shock protein family B (small) member 7	chr1	16014028	16020597	-
CLCNKA	chloride voltage-gated channel Ka	chr1	16018146	16034109	+
CLCNKB	chloride voltage-gated channel Kb	chr1	16040252	16057367	+
FAM131C	family with sequence similarity 131 member C	chr1	16057769	16073651	-
EPHA2	EPH receptor A2	chr1	16124337	16156069	-
ARHGEF19	Rho guanine nucleotide exchange factor 19	chr1	16197854	16212893	-
CPLANE2	ciliogenesis and planar polarity effector complex subunit 2	chr1	16231692	16237183	-
FBXO42	F-box protein 42	chr1	16246840	16352487	-
SZRD1	SUZ RNA binding domain containing 1	chr1	16352575	16398147	+
SPATA21	spermatogenesis associated 21	chr1	16387117	16437424	-
NECAP2	NECAP endocytosis associated 2	chr1	16440707	16460081	+
NBPF1	NBPF member 1	chr1	16562319	16613562	-
CROCC	ciliary rootlet coiled-coil, rootletin	chr1	16740273	16972964	+
MFAP2	microfibril associated protein 2	chr1	16974498	16981616	-
ATP13A2	ATPase cation transporting 13A2	chr1	16985958	17011928	-
SDHB	succinate dehydrogenase complex iron sulfur subunit B	chr1	17018664	17054151	-
PADI2	peptidyl arginine deiminase 2	chr1	17066761	17119459	-
PADI1	peptidyl arginine deiminase 1	chr1	17205128	17246007	+
PADI3	peptidyl arginine deiminase 3	chr1	17249098	17284233	+
PADI4	peptidyl arginine deiminase 4	chr1	17308195	17364004	+
PADI6	peptidyl arginine deiminase 6	chr1	17372196	17401699	+
RCC2	regulator of chromosome condensation 2	chr1	17406755	17439772	-
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	chr1	17539368	17697876	+
ACTL8	actin like 8	chr1	17755333	17827063	+
IGSF21	immunoglobin superfamily member 21	chr1	18107710	18378483	+
KLHDC7A	kelch domain containing 7A	chr1	18480930	18485974	+
PAX7	paired box 7	chr1	18630846	18748876	+
TAS1R2	taste 1 receptor member 2	chr1	18839599	18859660	-
ALDH4A1	aldehyde dehydrogenase 4 family member A1	chr1	18871425	18902799	-
IFFO2	intermediate filament family orphan 2	chr1	18904280	18956676	-
UBR4	ubiquitin protein ligase E3 component n-recognin 4	chr1	19074510	19210266	-
EMC1	ER membrane protein complex subunit 1	chr1	19215660	19251552	-
MRTO4	MRT4 homolog, ribosome maturation factor	chr1	19251796	19260128	+
AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	chr1	19265982	19274194	-
AKR7A3	aldo-keto reductase family 7 member A3	chr1	19282496	19288823	-
AKR7A2	aldo-keto reductase family 7 member A2	chr1	19301991	19312144	-
SLC66A1	solute carrier family 66 member 1	chr1	19312284	19329300	+
CAPZB	capping actin protein of muscle Z-line subunit beta	chr1	19338775	19485600	-
MICOS10	mitochondrial contact site and cristae organizing system subunit 10	chr1	19484403	19629821	+
NBL1	NBL1, DAN family BMP antagonist	chr1	19596979	19658456	+
HTR6	5-hydroxytryptamine receptor 6	chr1	19664875	19680966	+
TMCO4	transmembrane and coiled-coil domains 4	chr1	19682207	19800500	-
RNF186	ring finger protein 186	chr1	19814029	19815283	-
OTUD3	OTU deubiquitinase 3	chr1	19882395	19912945	+
PLA2G2E	phospholipase A2 group IIE	chr1	19920009	19923617	-
PLA2G2A	phospholipase A2 group IIA	chr1	19975431	19980462	-
PLA2G5	phospholipase A2 group V	chr1	20028179	20091911	+
PLA2G2D	phospholipase A2 group IID	chr1	20111939	20119566	-
PLA2G2F	phospholipase A2 group IIF	chr1	20139323	20150381	+
PLA2G2C	phospholipase A2 group IIC	chr1	20161253	20186518	-
UBXN10	UBX domain protein 10	chr1	20183293	20196050	+
VWA5B1	von Willebrand factor A domain containing 5B1	chr1	20290875	20359534	+
CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	chr1	20482391	20486210	-
MUL1	mitochondrial E3 ubiquitin protein ligase 1	chr1	20499445	20508151	-
FAM43B	family with sequence similarity 43 member B	chr1	20552573	20555020	+
CDA	cytidine deaminase	chr1	20588932	20618908	+
PINK1	PTEN induced kinase 1	chr1	20633458	20651511	+
DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	chr1	20651767	20661544	-
KIF17	kinesin family member 17	chr1	20664011	20718017	-
SH2D5	SH2 domain containing 5	chr1	20719724	20732837	-
HP1BP3	heterochromatin protein 1 binding protein 3	chr1	20739095	20787323	-
EIF4G3	eukaryotic translation initiation factor 4 gamma 3	chr1	20806292	21177285	-
ECE1	endothelin converting enzyme 1	chr1	21217247	21345572	-
NBPF3	NBPF member 3	chr1	21440099	21485005	+
ALPL	alkaline phosphatase, biomineralization associated	chr1	21509397	21578410	+
RAP1GAP	RAP1 GTPase activating protein	chr1	21596215	21669846	-
USP48	ubiquitin specific peptidase 48	chr1	21678298	21783606	-
LDLRAD2	low density lipoprotein receptor class A domain containing 2	chr1	21812265	21825225	+
HSPG2	heparan sulfate proteoglycan 2	chr1	21822244	21937310	-
CELA3B	chymotrypsin like elastase 3B	chr1	21977022	21998642	+
CELA3A	chymotrypsin like elastase 3A	chr1	22001657	22012542	+
CDC42	cell division cycle 42	chr1	22052627	22101360	+
WNT4	Wnt family member 4	chr1	22117313	22143969	-
ZBTB40	zinc finger and BTB domain containing 40	chr1	22428838	22531157	+
EPHA8	EPH receptor A8	chr1	22563489	22603595	+
C1QA	complement C1q A chain	chr1	22635057	22639681	+
C1QC	complement C1q C chain	chr1	22642558	22648110	+
C1QB	complement C1q B chain	chr1	22652713	22661637	+
EPHB2	EPH receptor B2	chr1	22710839	22921500	+
LACTBL1	lactamase beta like 1	chr1	22953043	22972866	-
TEX46	testis expressed 46	chr1	23010834	23019100	-
KDM1A	lysine demethylase 1A	chr1	23019395	23083693	+
LUZP1	leucine zipper protein 1	chr1	23084030	23178152	-
HTR1D	5-hydroxytryptamine receptor 1D	chr1	23190178	23217547	-
HNRNPR	heterogeneous nuclear ribonucleoprotein R	chr1	23303771	23344358	-
ZNF436	zinc finger protein 436	chr1	23359448	23369836	-
TCEA3	transcription elongation factor A3	chr1	23370591	23425169	-
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	chr1	23428561	23484637	-
E2F2	E2F transcription factor 2	chr1	23506438	23531233	-
ID3	inhibitor of DNA binding 3	chr1	23557917	23559883	-
RPL11	ribosomal protein L11	chr1	23691685	23696835	+
ELOA	elongin A	chr1	23743448	23762059	+
PITHD1	PITH domain containing 1	chr1	23778393	23788232	+
LYPLA2	lysophospholipase 2	chr1	23791110	23795544	+
GALE	UDP-galactose-4-epimerase	chr1	23795599	23800781	-
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	chr1	23801877	23838620	-
FUCA1	alpha-L-fucosidase 1	chr1	23845077	23868356	-
CNR2	cannabinoid receptor 2	chr1	23870515	23913362	-
PNRC2	proline rich nuclear receptor coactivator 2	chr1	23956839	23963776	+
SRSF10	serine and arginine rich splicing factor 10	chr1	23964347	23980927	-
MYOM3	myomesin 3	chr1	24056035	24112190	-
IL22RA1	interleukin 22 receptor subunit alpha 1	chr1	24119771	24143165	-
IFNLR1	interferon lambda receptor 1	chr1	24154168	24187959	-
GRHL3	grainyhead like transcription factor 3	chr1	24199558	24364482	+
STPG1	sperm tail PG-rich repeat containing 1	chr1	24355886	24416934	-
NIPAL3	NIPA like domain containing 3	chr1	24413527	24476735	+
RCAN3	RCAN family member 3	chr1	24502340	24541040	+
NCMAP	non-compact myelin associated protein	chr1	24556076	24609328	+
SRRM1	serine and arginine repetitive matrix 1	chr1	24631716	24673281	+
CLIC4	chloride intracellular channel 4	chr1	24745342	24844321	+
RUNX3	RUNX family transcription factor 3	chr1	24899511	24965121	-
SYF2	SYF2 pre-mRNA splicing factor	chr1	25222276	25232504	-
RSRP1	arginine and serine rich protein 1	chr1	25242248	25338244	-
RHD	Rh blood group D antigen	chr1	25272393	25330445	+
TMEM50A	transmembrane protein 50A	chr1	25338295	25362362	+
RHCE	Rh blood group CcEe antigens	chr1	25362249	25430192	-
MACO1	macoilin 1	chr1	25430853	25500209	+
LDLRAP1	low density lipoprotein receptor adaptor protein 1	chr1	25543573	25591200	+
MAN1C1	mannosidase alpha class 1C member 1	chr1	25616791	25786205	+
SELENON	selenoprotein N	chr1	25800193	25818221	+
MTFR1L	mitochondrial fission regulator 1 like	chr1	25818640	25832947	+
AUNIP	aurora kinase A and ninein interacting protein	chr1	25831913	25859458	-
PAQR7	progestin and adipoQ receptor family member 7	chr1	25861484	25875874	-
STMN1	stathmin 1	chr1	25884181	25907237	-
PAFAH2	platelet activating factor acetylhydrolase 2	chr1	25959767	25999206	-
EXTL1	exostosin like glycosyltransferase 1	chr1	26019884	26036464	+
SLC30A2	solute carrier family 30 member 2	chr1	26037252	26046136	-
TRIM63	tripartite motif containing 63	chr1	26051301	26068436	-
PDIK1L	PDLIM1 interacting kinase 1 like	chr1	26111157	26125555	+
FAM110D	family with sequence similarity 110 member D	chr1	26159047	26163962	+
C1orf232	chromosome 1 open reading frame 230	chr1	26164101	26168963	-
ZNF593OS	ZNF593 opposite strand	chr1	26169516	26171832	-
ZNF593	zinc finger protein 593	chr1	26169908	26170873	+
CNKSR1	connector enhancer of kinase suppressor of Ras 1	chr1	26177476	26189884	+
CATSPER4	cation channel sperm associated 4	chr1	26190561	26202968	+
CEP85	centrosomal protein 85	chr1	26233669	26278814	+
SH3BGRL3	SH3 domain binding glutamate rich protein like 3	chr1	26280057	26281522	+
UBXN11	UBX domain protein 11	chr1	26281328	26318363	-
CD52	CD52 molecule	chr1	26317958	26320523	+
CRYBG2	crystallin beta-gamma domain containing 2	chr1	26321698	26360080	-
ZNF683	zinc finger protein 683	chr1	26361634	26374522	-
LIN28A	lin-28 homolog A	chr1	26410817	26429728	+
DHDDS	dehydrodolichyl diphosphate synthase subunit	chr1	26432282	26471322	+
HMGN2	high mobility group nucleosomal binding domain 2	chr1	26472013	26478209	+
RPS6KA1	ribosomal protein S6 kinase A1	chr1	26529756	26575030	+
ARID1A	AT-rich interaction domain 1A	chr1	26693236	26782104	+
PIGV	phosphatidylinositol glycan anchor biosynthesis class V	chr1	26787054	26800659	+
ZDHHC18	zinc finger DHHC-type palmitoyltransferase 18	chr1	26826688	26857604	+
SFN	stratifin	chr1	26863149	26864456	+
GPN2	GPN-loop GTPase 2	chr1	26876132	26890283	-
GPATCH3	G-patch domain containing 3	chr1	26890488	26900467	-
NUDC	nuclear distribution C, dynein complex regulator	chr1	26900238	26946885	+
NR0B2	nuclear receptor subfamily 0 group B member 2	chr1	26911489	26913975	-
KDF1	keratinocyte differentiation factor 1	chr1	26949556	26960788	-
TRNP1	TMF1 regulated nuclear protein 1	chr1	26993692	27001912	+
TENT5B	terminal nucleotidyltransferase 5B	chr1	27005020	27012850	-
SLC9A1	solute carrier family 9 member A1	chr1	27098809	27166981	-
WDTC1	WD and tetratricopeptide repeats 1	chr1	27233776	27308711	+
TMEM222	transmembrane protein 222	chr1	27322139	27336401	+
SYTL1	synaptotagmin like 1	chr1	27342009	27353937	+
MAP3K6	mitogen-activated protein kinase kinase kinase 6	chr1	27355180	27366972	-
FCN3	ficolin 3	chr1	27369108	27374854	-
CD164L2	CD164 molecule like 2	chr1	27379176	27383333	-
GPR3	G protein-coupled receptor 3	chr1	27392622	27395814	+
WASF2	WASP family member 2	chr1	27404226	27490308	-
AHDC1	AT-hook DNA binding motif containing 1	chr1	27534035	27604431	-
FGR	FGR proto-oncogene, Src family tyrosine kinase	chr1	27612064	27635565	-
IFI6	interferon alpha inducible protein 6	chr1	27666064	27672212	-
FAM76A	family with sequence similarity 76 member A	chr1	27725961	27763116	+
STX12	syntaxin 12	chr1	27773195	27824443	+
PPP1R8	protein phosphatase 1 regulatory subunit 8	chr1	27830782	27851676	+
THEMIS2	thymocyte selection associated family member 2	chr1	27872543	27886685	+
RPA2	replication protein A2	chr1	27891524	27914746	-
SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	chr1	27935000	27959157	+
XKR8	XK related 8	chr1	27959588	27968093	+
EYA3	EYA transcriptional coactivator and phosphatase 3	chr1	27970344	28088731	-
PTAFR	platelet activating factor receptor	chr1	28147166	28194083	-
DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	chr1	28199456	28233032	-
ATP5IF1	ATP synthase inhibitory factor subunit 1	chr1	28236084	28246906	+
SESN2	sestrin 2	chr1	28259473	28282491	+
MED18	mediator complex subunit 18	chr1	28329002	28335965	+
PHACTR4	phosphatase and actin regulator 4	chr1	28369563	28500364	+
RCC1	regulator of chromosome condensation 1	chr1	28505943	28539300	+
TRNAU1AP	tRNA selenocysteine 1 associated protein 1	chr1	28553001	28578545	+
TAF12	TATA-box binding protein associated factor 12	chr1	28587829	28648364	-
RAB42	RAB42, member RAS oncogene family	chr1	28592200	28595449	+
GMEB1	glucocorticoid modulatory element binding protein 1	chr1	28668280	28719353	+
YTHDF2	YTH N6-methyladenosine RNA binding protein F2	chr1	28736621	28769784	+
OPRD1	opioid receptor delta 1	chr1	28812170	28871267	+
EPB41	erythrocyte membrane protein band 4.1	chr1	28887091	29120046	+
TMEM200B	transmembrane protein 200B	chr1	29119429	29123918	-
SRSF4	serine and arginine rich splicing factor 4	chr1	29147743	29181922	-
MECR	mitochondrial trans-2-enoyl-CoA reductase	chr1	29192657	29230945	-
PTPRU	protein tyrosine phosphatase receptor type U	chr1	29236505	29326813	+
MATN1	matrilin 1	chr1	30711277	30723585	-
LAPTM5	lysosomal protein transmembrane 5	chr1	30732465	30757855	-
SDC3	syndecan 3	chr1	30869466	30908810	-
PUM1	pumilio RNA binding family member 1	chr1	30931505	31065991	-
